country,year,urban_pct
Belgium,2024,87.6126557010527
Belgium,2025,87.6126557010527
Belgium,2026,87.6126557010527
Benin,2020,49.4461567219896
Benin,2021,50.1961807561354
Benin,2022,50.9627000010887
Benin,2023,51.7457922964593
Benin,2024,52.5455354818423
Benin,2025,52.5455354818423
Benin,2026,52.5455354818423
Bolivia,2020,70.0442635528254
Bolivia,2021,70.3450412826165
Bolivia,2022,70.6352598708131
Bolivia,2023,70.9151414044538
Bolivia,2024,71.2361453773988
Bolivia,2025,71.2361453773988
Bolivia,2026,71.2361453773988
Brazil,2020,86.9112186503004
Brazil,2021,87.1360781715439
Brazil,2022,87.349556243881
Brazil,2023,87.6159710235763
Brazil,2024,87.8958549533146
Brazil,2025,87.8958549533146
Brazil,2026,87.8958549533146
Cameroon,2020,54.2557949164174
Cameroon,2021,54.5548664463635
Cameroon,2022,54.8458745688318
Cameroon,2023,55.1286878511388
Cameroon,2024,55.4031748609078
Cameroon,2025,55.4031748609078
Cameroon,2026,55.4031748609078
Canada,2020,81.9509888710566
Canada,2021,82.1779279079275
Canada,2022,82.3500897353968
Canada,2023,82.5250564408346
Canada,2024,82.7002565766633
Canada,2025,82.7002565766633
Canada,2026,82.7002565766633
Chile,2020,88.2953490438375
Chile,2021,88.4660511664452
Chile,2022,88.6395352768685
Chile,2023,88.8158617217972
Chile,2024,88.9950908479196
Chile,2025,88.9950908479196
Chile,2026,88.9950908479196
China,2020,63.5234230266258
China,2021,64.721076965332
China,2022,65.2176361083984
China,2023,65.5301448035523
China,2024,65.8946980998325
China,2025,65.8946980998325
China,2026,65.8946980998325
Colombia,2020,77.6382533537045
Colombia,2021,77.8339570326128
Colombia,2022,78.0464633137335
Colombia,2023,78.275571579544
Colombia,2024,78.5210811866115
Colombia,2025,78.5210811866115
Colombia,2026,78.5210811866115
Costa Rica,2020,77.5211537281257
Costa Rica,2021,77.9868940200009
Costa Rica,2022,78.4405687613972
Costa Rica,2023,78.8819393641702
Costa Rica,2024,79.3107672397967
Costa Rica,2025,79.3107672397967
Costa Rica,2026,79.3107672397967
Côte d’Ivoire,2020,51.8357660823651
Côte d’Ivoire,2021,52.3183461956059
Côte d’Ivoire,2022,52.8492549676673
Côte d’Ivoire,2023,53.4075201638704
Côte d’Ivoire,2024,53.9733113940142
Côte d’Ivoire,2025,53.9733113940142
Côte d’Ivoire,2026,53.9733113940142
Democratic Republic of the Congo,2020,43.2528602500115
Democratic Republic of the Congo,2021,43.6290681792218
Democratic Republic of the Congo,2022,44.003287663813
Democratic Republic of the Congo,2023,44.3754734892194
Democratic Republic of the Congo,2024,44.7455804408753
Democratic Republic of the Congo,2025,44.7455804408753
Democratic Republic of the Congo,2026,44.7455804408753
Dominican Republic,2020,73.2643793773663
Dominican Republic,2021,72.9243347395035
Dominican Republic,2022,72.4203155643711
Dominican Republic,2023,72.3577991823338
Dominican Republic,2024,72.4121874752151
Dominican Republic,2025,72.4121874752151
Dominican Republic,2026,72.4121874752151
Ecuador,2020,63.0773897782521
Ecuador,2021,63.0871268249117
Ecuador,2022,63.0901835932266
Ecuador,2023,63.1307729554263
Ecuador,2024,63.2376932397602
Ecuador,2025,63.2376932397602
Ecuador,2026,63.2376932397602
Egypt,2020,42.5181534630674
Egypt,2021,42.5686062621468
Egypt,2022,42.6325129008032
Egypt,2023,42.7098115041919
Egypt,2024,42.8004363938404
Egypt,2025,42.8004363938404
Egypt,2026,42.8004363938404
El Salvador,2020,73.0570220947266
El Salvador,2021,73.6838531494141
El Salvador,2022,74.1465021298679
El Salvador,2023,74.6080675149903
El Salvador,2024,75.0674905102199
El Salvador,2025,75.0674905102199
El Salvador,2026,75.0674905102199
Finland,2020,73.0849439791673
Finland,2021,73.3710215780329
Finland,2022,73.6967597835949
Finland,2023,74.0062548602828
Finland,2024,74.2637190463636
Finland,2025,74.2637190463636
Finland,2026,74.2637190463636
France,2020,78.7119131765249
France,2021,78.7364603392338
France,2022,78.7591921123356
France,2023,78.7804323126547
France,2024,78.7999750964116
France,2025,78.7999750964116
France,2026,78.7999750964116
Georgia,2020,58.9990552763878
Georgia,2021,59.4293560618005
Georgia,2022,60.0101622679115
Georgia,2023,60.7523077799724
Georgia,2024,61.0789605093733
Georgia,2025,61.0789605093733
Georgia,2026,61.0789605093733
Germany,2020,81.4700055002738
Germany,2021,81.6325870653934
Germany,2022,81.7867852780995
Germany,2023,81.9034366692129
Germany,2024,82.0211432579125
Germany,2025,82.0211432579125
Germany,2026,82.0211432579125
Ghana,2020,56.2171613974837
Ghana,2021,56.6952556826536
Ghana,2022,57.250609602871
Ghana,2023,57.8074737774654
Ghana,2024,58.3654868038581
Ghana,2025,58.3654868038581
Ghana,2026,58.3654868038581
Guatemala,2020,54.5483167911628
Guatemala,2021,54.9047071553758
Guatemala,2022,55.2581228215265
Guatemala,2023,55.6082319565539
Guatemala,2024,55.9547027274763
Guatemala,2025,55.9547027274763
Guatemala,2026,55.9547027274763
Honduras,2020,56.8691654042685
Honduras,2021,57.3550236357547
Honduras,2022,57.8364689017254
Honduras,2023,58.3132392705102
Honduras,2024,58.7850728104829
Honduras,2025,58.7850728104829
Honduras,2026,58.7850728104829
Hong Kong,2020,100.0
Hong Kong,2021,100.0
Hong Kong,2022,100.0
Hong Kong,2023,100.0
