country,year,age_group,pop_male,pop_female,pop_total
Algeria,2025,85+,75.373,114.046,189.416
Algeria,2026,18-24,2341.53,2245.331,4586.859
Algeria,2026,25-34,3193.929,3022.194,6216.124
Algeria,2026,35-44,3754.251,3551.624,7305.878
Algeria,2026,45-54,3006.828,2855.516,5862.345
Algeria,2026,55-64,2043.493,1962.692,4006.185
Algeria,2026,65-74,1152.097,1153.077,2305.173
Algeria,2026,75-84,407.763,472.603,880.364
Algeria,2026,85+,78.671,118.832,197.5
Angola,2020,18-24,2027.331,2044.113,4071.445
Angola,2020,25-34,2276.286,2325.801,4602.09
Angola,2020,35-44,1569.435,1637.574,3207.011
Angola,2020,45-54,1009.001,1113.94,2122.943
Angola,2020,55-64,637.429,716.968,1354.398
Angola,2020,65-74,292.756,354.493,647.248
Angola,2020,75-84,91.815,138.143,229.956
Angola,2020,85+,12.617,21.935,34.545
Angola,2021,18-24,2098.987,2114.847,4213.834
Angola,2021,25-34,2336.056,2386.337,4722.393
Angola,2021,35-44,1631.324,1699.709,3331.032
Angola,2021,45-54,1041.51,1147.638,2189.148
Angola,2021,55-64,658.255,745.116,1403.371
Angola,2021,65-74,304.882,369.269,674.15
Angola,2021,75-84,95.286,142.784,238.069
Angola,2021,85+,12.746,22.854,35.593
Angola,2022,18-24,2178.74,2193.258,4371.997
Angola,2022,25-34,2395.248,2446.202,4841.451
Angola,2022,35-44,1694.387,1763.402,3457.788
Angola,2022,45-54,1076.485,1182.822,2259.31
Angola,2022,55-64,679.236,773.576,1452.81
Angola,2022,65-74,318.587,385.822,704.409
Angola,2022,75-84,99.162,147.546,246.705
Angola,2022,85+,13.169,23.998,37.166
Angola,2023,18-24,2265.407,2278.203,4543.61
Angola,2023,25-34,2453.033,2504.424,4957.456
Angola,2023,35-44,1757.711,1827.675,3585.39
Angola,2023,45-54,1114.103,1219.842,2333.945
Angola,2023,55-64,700.771,803.107,1503.878
Angola,2023,65-74,334.012,404.846,738.86
Angola,2023,75-84,103.064,152.171,255.23
Angola,2023,85+,13.713,25.406,39.117
Angola,2024,18-24,2361.348,2372.324,4733.675
Angola,2024,25-34,2512.022,2563.599,5075.62
Angola,2024,35-44,1820.891,1892.108,3712.998
Angola,2024,45-54,1153.846,1258.467,2412.314
Angola,2024,55-64,722.531,833.065,1555.597
Angola,2024,65-74,350.76,426.06,776.821
Angola,2024,75-84,106.691,156.166,262.856
Angola,2024,85+,14.238,26.755,40.991
Angola,2025,18-24,2465.245,2474.399,4939.644
Angola,2025,25-34,2574.014,2625.561,5199.571
Angola,2025,35-44,1883.237,1955.954,3839.193
Angola,2025,45-54,1196.162,1299.671,2495.831
Angola,2025,55-64,744.277,862.604,1606.881
Angola,2025,65-74,368.167,448.45,816.616
Angola,2025,75-84,110.454,160.349,270.803
Angola,2025,85+,14.738,28.024,42.759
Angola,2026,18-24,2574.318,2581.701,5156.017
Angola,2026,25-34,2641.76,2693.067,5334.827
Angola,2026,35-44,1944.785,2019.155,3963.943
Angola,2026,45-54,1241.83,1344.704,2586.532
Angola,2026,55-64,765.729,890.915,1656.643
Angola,2026,65-74,385.856,471.409,857.264
Angola,2026,75-84,114.662,165.388,280.048
Angola,2026,85+,15.255,29.251,44.5
Argentina,2020,18-24,2494.305,2387.846,4882.149
